Row.names	Chr	Start	End	Strand	Length	812-AS2	812-Flag	549-AS2	549-Flag
AB015752.3	8;8;8;8;8	90534611;90554351;90562229;90618949;90620011	90534626;90554666;90562340;90619022;90620070	-;-;-;-;-	578	0.191471074939803	0	0	0.0723332137594221
AB019440.50	14;14	106206603;106208305	106206724;106208571	+;+	389	0	0	0	0
ABC11-4932300O16.1	10;10	131891640;131895113	131892989;131895297	+;+	1535	0	0	0	0
ABC12-49244600F4.4	12	7115736	7116486	-	751	0	0	0	0
ABC7-481722F1.2	7;7;7;7	12704;24314;26965;26965	12822;24365;27199;27234	+;+;+;+	441	0	0	0	0
AC000067.1	22;22	19667023;19667446	19667199;19667555	+;+	287	0	0	0	0
AC000124.1	7;7;7;7	127476883;127477597;127479133;127485112	127476969;127477668;127479237;127485804	+;+;+;+	957	0	0	0	0
AC000403.4	13	76887551	76891135	+	3585	0.138916671106953	0.146462511521135	0	0.0233241827352558
AC001226.7	13	77027944	77028482	+	539	0	0.0885593023786929	0	0
AC002064.5	7;7;7	90312496;90320358;90322229	90312800;90320421;90322592	+;+;+	733	0	0	0	0.0570376501404447
AC002115.5	19;19;19	35597907;35600641;35601305	35597957;35600754;35601501	+;+;+	362	0	0	0	0
AC002115.9	19;19	35608285;35612618	35608803;35612666	-;-	568	0	0	0	0
AC002127.4	7;7;7;7;7;7	88710631;88732707;88733565;88742017;88747238;88756580	88710695;88733034;88733654;88742077;88747339;88756725	+;+;+;+;+;+	792	0	0	0	0
AC002331.1	16;16	26584755;26594710	26584944;26594813	-;-	294	0	0	0	0
AC002383.2	7;7;7;7;7;7	89443974;89469603;89474895;89490120;89491635;89494113	89444057;89469659;89475043;89490274;89491710;89494262	+;+;+;+;+;+	671	0	0	0	0
AC002386.1	7;7	109322320;109326212	109322613;109326315	-;-	398	0	0	0	0
AC002463.3	7;7;7;7;7;7;7;7	112622378;112632558;112635279;112635838;112640162;112699330;112701367;112707737	112622619;112632665;112635366;112635922;112640218;112699522;112701437;112708080	+;+;+;+;+;+;+;+	1188	0	0	0	0
AC002480.2	7;7;7;7;7	22649960;22652946;22653247;22663082;22665345	22651153;22653151;22653414;22663916;22665533	-;-;-;-;-	2592	0	0	0	0.0161298601670316
AC002511.2	19;19	35424062;35424592	35424450;35424652	-;-	450	0	0	0	0
AC002511.3	19;19;19;19	35432957;35433589;35433941;35434205	35433102;35433833;35434111;35434642	-;-;-;-	1000	0	0	0	0
AC003005.2	19;19;19;19	57477649;57477699;57481881;57482896	57478086;57478086;57482005;57482996	+;+;+;+	664	0.166672110414467	0	0	0
AC003084.2	7;7;7	117998858;118003166;118004017	117999138;118003290;118004045	-;-;-	435	0	0	0	0
AC003088.1	7;7;7;7;7	110432239;110432811;110511060;110525456;110534589	110432310;110432906;110511114;110525561;110534754	-;-;-;-;-	495	0.223576325889305	0.09643124036791	0	0.422309066191373
AC003090.1	7;7;7;7;7;7;7;7;7;7;7	25593351;25594533;25657071;25657960;25657960;25661670;25661670;25661670;25662746;25662746;25750786	25594716;25594716;25658093;25658093;25658093;25661731;25661731;25661731;25662941;25663053;25750994	-;-;-;-;-;-;-;-;-;-;-	2968	0.689824866688448	0.691556250414746	0	0
AC003092.1	7;7;7;7;7;7;7;7;7	94022833;94061141;94061456;94061456;94061769;94061769;94064426;94064426;94066367	94022907;94061270;94061625;94061625;94061864;94061864;94064723;94064477;94066661	+;+;+;+;+;+;+;+;+	1064	0	0	0.243885776735751	0.0785875893852368
AC003092.2	7;7;7	94071759;94072251;94076995	94071958;94072333;94077157	-;-;-	446	0	0	0	0
AC003664.1	17;17;17;17;17	13299184;13299819;13301119;13303833;13306736	13299234;13299987;13301239;13303951;13306760	-;-;-;-;-	485	0	0	0	0
AC003682.16	19;19	57625032;57626694	57625236;57626950	+;+	462	0	0	0.112335266860103	0
AC003973.4	19;19;19;19;19;19;19;19;19	22017959;22022084;22022472;22026236;22027199;22034673;22034881;22035098;22036165	22018261;22022284;22022599;22026345;22027344;22034797;22034998;22035209;22036315	-;-;-;-;-;-;-;-;-	1394	0	0	0	0
AC003973.5	19;19;19;19	22043500;22045879;22046091;22049815	22043525;22045985;22046312;22050005	-;-;-;-	546	0	0	0	0
AC003984.1	7;7;7;7;7;7	84532476;84549147;84549206;84570979;84570979;84584151	84532607;84549253;84549253;84574843;84571107;84584322	+;+;+;+;+;+	4276	0	0	0	0
AC003985.1	7;7;7	25321302;25325295;25326781	25321516;25325406;25326815	-;-;-	362	0	0	0	0
AC003988.1	7;7;7;7;7	80246409;80248732;80263212;80302872;80312347	80246502;80248866;80263358;80302963;80312456	-;-;-;-;-	578	0	0	0	0
AC004009.3	7;7;7;7;7	27361843;27379349;27404205;27408809;27409921	27361970;27379498;27404325;27408958;27409938	+;+;+;+;+	567	0	0	0	0
AC004012.1	7;7	95471835;95473693	95472062;95473998	+;+	534	0	0	0	0
AC004014.3	7;7;7;7	108909453;108946960;108949349;108952412	108909527;108947038;108949477;108952666	+;+;+;+	538	0	0	0	0
AC004051.2	4;4;4	109303035;109313343;109314577	109303327;109313441;109316135	+;+;+	1951	0	0	0	0
