Row.names	Chr	Start	End	Strand	Length	812-AS2	812-Flag	549-AS2	549-Flag
5_8S_rRNA	14;20;20;20;22;KI270442.1	16057472;29297095;29741510;30484925;11249809;217250	16057622;29297246;29741661;30485076;11249959;217401	+;-;-;-;-;-	910	0.0608078468764869	0	0	0
5S_rRNA	1;1;1;1;11;17;17;2;20;20;4;5;6;8;9;KI270442.1;X;X	143439605;144265217;146539541;207708898;102057854;37940704;38144201;89600571;29874059;30816156;67439992;146586099;15522195;48316669;41237440;380608;148008100;151026295	143439714;144265326;146539663;207708981;102057960;37940790;38144287;89600680;29874177;30816274;67440118;146586200;15522300;48316770;41237557;380726;148008215;151026406	+;+;-;-;+;-;-;+;+;-;+;-;-;+;-;+;-;-	1958	0	0	0	0
7SK	1;1;1;11;17;3	120228046;120670127;149290513;120365666;35889558;124792319	120228295;120670376;149290762;120365963;35889804;124792562	-;+;+;+;+;-	1539	0	0	0	0.0271660802813164
A1BG	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	58345178;58346850;58346858;58346860;58347353;58347353;58347353;58347353;58350370;58350370;58350594;58351391;58351391;58351391;58352098;58352283;58352283;58352928;58352928;58352928;58353292;58353292;58353404;58353404	58347029;58347029;58347029;58347029;58347640;58347657;58347640;58347634;58350651;58350651;58350651;58351687;58352555;58351687;58352184;58352555;58352555;58353129;58353197;58353197;58353327;58353327;58353491;58353499	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4006	0	0	0	0
A1BG-AS1	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	58347751;58347752;58347753;58347753;58347787;58347789;58351970;58353321;58353321;58353321;58353321;58353379;58353379;58353714;58353714;58353714;58353714;58353714;58353714;58353714;58354369;58354369	58347844;58347844;58347844;58347844;58347844;58347844;58353044;58353474;58353474;58353474;58353461;58353474;58353474;58353857;58354713;58353857;58354502;58355183;58354425;58354039;58355183;58354724	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2793	0	0	0.464544336639526	0.044907193934421
A1CF	10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10	50799409;50799421;50799421;50799421;50806562;50806562;50806562;50809894;50809894;50809894;50809894;50809894;50809894;50809894;50811040;50811040;50811040;50811040;50811040;50811040;50811040;50811044;50813857;50813857;50813857;50813857;50813857;50813857;50813857;50813857;50816006;50816006;50816006;50816006;50816006;50816006;50816006;50816006;50820552;50820552;50820552;50820552;50820552;50820552;50820552;50820552;50828131;50828131;50828131;50828131;50828131;50828131;50828131;50828131;50828131;50828388;50836074;50836074;50836074;50836074;50836074;50836074;50836074;50836074;50836074;50841862;50841862;50841862;50841862;50841862;50841862;50841862;50841862;50841862;50843988;50843988;50843988;50843988;50843988;50843988;50843988;50843988;50843988;50850665;50850665;50850665;50859842;50859842;50859842;50859842;50859842;50859842;50859842;50859842;50862889;50862889;50862889;50864033;50864033;50864033;50864033;50864033;50864033;50885581;50885581;50885581;50885581;50885581;50885581;50885581;50885581	50806880;50806880;50806880;50806880;50806880;50806880;50806880;50810042;50810042;50810042;50810042;50810042;50810042;50810042;50811176;50811176;50811176;50811176;50811176;50811176;50811176;50811176;50814038;50814038;50814038;50814062;50814038;50814038;50814062;50814038;50816279;50816279;50816279;50816279;50816279;50816279;50816279;50816279;50820649;50820649;50820649;50820649;50820649;50820649;50820649;50820649;50828295;50828295;50828295;50828295;50828295;50828295;50828295;50828295;50828295;50828461;50836312;50836312;50836312;50836312;50836312;50836312;50836312;50836312;50836312;50841992;50841992;50841992;50841992;50841992;50841992;50841992;50841992;50841992;50844122;50844122;50844122;50844122;50844122;50844122;50844122;50844122;50844122;50850807;50850807;50850807;50859985;50859985;50859985;50859985;50859985;50859985;50859985;50859985;50862981;50862981;50862981;50864080;50864080;50864080;50864080;50864080;50864080;50885675;50885675;50885675;50885675;50885675;50885675;50885675;50885675	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9603	0	0	0.210773387304524	0
A2M	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	9067664;9067712;9067712;9067712;9068183;9068183;9068740;9068740;9068740;9069745;9070488;9072359;9072433;9072653;9072653;9074560;9076756;9077346;9077701;9077769;9079244;9079244;9079639;9079639;9079981;9080094;9080094;9080274;9089200;9089200;9089902;9089902;9089912;9090356;9090356;9090356;9091201;9091201;9091396;9093465;9093465;9094973;9094973;9095539;9095539;9098382;9098607;9099381;9099381;9099466;9101144;9101144;9101144;9101447;9101447;9101447;9101550;9104239;9104239;9106236;9106236;9106491;9107524;9109321;9109340;9109867;9109867;9110314;9110314;9110314;9112159;9112159;9112159;9112377;9112377;9112639;9113360;9113360;9113360;9113360;9115158;9115764;9115764;9115764;9115764;9115764;9116128	9067812;9067839;9068224;9067839;9068224;9068224;9069078;9068842;9068955;9069813;9070578;9072486;9072486;9072721;9072871;9074783;9076936;9077420;9077857;9077857;9079331;9079331;9079815;9079815;9080177;9080177;9080177;9080398;9089251;9089251;9090023;9090023;9090023;9090530;9090482;9090482;9091429;9091412;9091429;9093579;9093579;9095084;9095084;9095700;9095700;9098756;9098756;9099523;9099523;9099523;9101207;9101207;9101207;9101556;9101494;9101674;9101674;9104400;9104400;9106296;9106345;9106605;9107644;9109405;9109405;9110035;9110035;9110334;9110334;9110334;9112211;9112211;9112211;9112536;9112536;9112689;9113543;9113543;9113543;9113543;9115436;9116061;9116017;9115866;9115860;9116157;9116229	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6384	0.0260033555721819	0.00747704636311332	0.0243885776735751	0.347095186451462
A2M-AS1	12;12;12	9065177;9065826;9066156	9065228;9066060;9068060	+;+;+	2192	0.934032939932169	0.783943751531093	0	0.896443469429042
A2ML1	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	8822472;8823182;8823513;8823720;8823720;8829727;8829727;8834662;8834662;8835507;8836255;8837440;8838336;8839113;8841369;8843134;8843236;8844954;8845004;8845281;8845283;8845442;8845442;8845442;8845442;8845442;8846077;8846077;8846077;8846077;8846077;8846077;8847549;8847549;8847549;8847549;8847549;8848720;8848720;8848720;8848720;8848720;8849669;8849669;8849669;8850160;8850160;8850160;8851784;8851784;8851784;8852210;8852210;8852210;8854128;8854128;8854128;8854780;8854780;8854780;8855509;8855509;8855509;8857164;8857164;8857164;8857235;8857507;8857507;8857507;8857507;8857946;8857946;8857946;8860881;8860881;8860881;8861135;8861135;8861135;8863794;8863794;8863794;8867842;8867842;8867842;8867943;8868230;8868230;8868230;8868230;8868537;8868537;8868537;8868537;8869135;8869135;8869135;8869135;8874425;8874425;8874425;8874425;8874971;8874971;8874971;8874971;8875461;8876058;8876058;8880524;8886507	8822713;8823365;8823582;8823882;8823882;8829779;8829779;8834935;8834682;8835666;8836339;8837566;8838450;8839222;8841536;8843361;8843361;8845306;8845174;8845311;8845502;8845502;8845502;8845502;8845502;8845502;8846222;8846222;8846124;8846222;8846222;8846222;8847698;8847698;8847698;8847698;8847698;8848795;8848901;8848914;8848914;8848914;8849759;8849759;8849759;8850274;8850274;8850274;8852012;8852012;8852012;8852336;8852336;8852336;8854249;8854249;8854249;8854831;8854831;8854831;8855592;8855592;8855592;8857340;8857340;8857340;8857340;8857864;8857588;8857588;8857588;8858102;8858102;8858102;8860955;8860955;8860955;8861297;8861297;8861297;8864008;8864008;8864008;8868057;8868057;8868057;8868057;8868357;8868357;8868357;8868357;8868627;8868627;8868627;8868627;8869203;8869203;8869203;8869203;8874527;8874527;8874527;8874527;8875012;8875012;8875012;8875012;8875814;8876456;8876785;8880616;8887001	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7303	0	0	0	0
A2ML1-AS1	12;12	8776219;8830662	8776384;8830947	-;-	452	0	0	0	0
